Risk Factor,Early Completion Dates,Project Result,Actual duration
0.8,"[0, 7, 14, 14, 11, 18, 25, 24, 25, 33, 40, 37]",Successful,329
0.8,"[0, 10, 15, 14, 13, 18, 23, 25, 24, 37, 42, 40]",Successful,362
1.0,"[0, 14, 20, 18, 19, 23, 31, 32, 31, 43, 48, 46]",Successful,360
0.8,"[0, 13, 19, 19, 15, 22, 26, 27, 27, 34, 39, 38]",Successful,357
1.4,"[0, 14, 22, 22, 16, 26, 34, 37, 35, 46, 53, 49]",Failed,427
1.2,"[0, 14, 19, 22, 18, 26, 32, 33, 33, 41, 46, 46]",Acceptable,409
0.8,"[0, 16, 21, 21, 20, 24, 31, 33, 29, 41, 46, 45]",Successful,380
1.2,"[0, 11, 18, 18, 16, 21, 25, 28, 25, 38, 45, 44]",Acceptable,417
1.0,"[0, 11, 16, 17, 16, 20, 27, 27, 26, 36, 44, 39]",Acceptable,405
1.0,"[0, 16, 22, 22, 19, 25, 33, 32, 33, 43, 49, 47]",Acceptable,401
0.8,"[0, 16, 21, 20, 19, 24, 28, 32, 28, 38, 43, 41]",Successful,358
1.0,"[0, 15, 21, 22, 18, 27, 32, 35, 35, 44, 49, 48]",Successful,373
1.0,"[0, 12, 18, 16, 16, 23, 30, 30, 28, 38, 44, 42]",Successful,358
1.0,"[0, 11, 15, 18, 14, 22, 27, 29, 28, 38, 41, 41]",Acceptable,390
0.8,"[0, 14, 18, 22, 18, 24, 28, 31, 30, 40, 48, 45]",Successful,356
1.4,"[0, 10, 18, 18, 15, 22, 30, 30, 29, 41, 48, 47]",Acceptable,402
0.8,"[0, 11, 19, 16, 15, 23, 29, 29, 28, 34, 40, 37]",Successful,333
1.4,"[0, 17, 25, 23, 22, 27, 35, 38, 35, 47, 56, 49]",Acceptable,425
0.8,"[0, 15, 19, 21, 19, 25, 32, 33, 28, 40, 46, 42]",Successful,343
1.2,"[0, 17, 25, 23, 22, 30, 38, 38, 37, 48, 55, 53]",Acceptable,408
1.2,"[0, 13, 18, 16, 19, 23, 29, 29, 29, 35, 42, 39]",Successful,386
